US power generation (thousand megawatthours),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
all fuels,3736644,3858452,3883185,3970555,4055423,4064702,4156745,4119388,3950331,4125060,4100141,4047765,4065964,4092935
coal,1903956,1933130,1973737,1978301,2012873,1990511,2016456,1985801,1755904,1847290,1733430,1514043,1581115,1585697
petroleum liquids,114647,78701,102734,100391,99840,44460,49505,31917,25972,23337,16086,13403,13820,18708
petroleum coke,10233,15867,16672,20754,22385,19706,16234,14325,12964,13724,14096,9787,13344,11781
natural gas,639129,691006,649908,710100,760960,816441,896590,882981,920979,987697,1013689,1225894,1124836,1121928
other gases,9039,11463,15600,15252,13464,14177,13453,11707,10632,11313,11566,11898,12853,11578
nuclear,768826,780064,763733,788528,781986,787219,806425,806208,798855,806968,790204,769331,789016,797067
conventional hydroelectric,216961,264329,275806,268417,270321,289246,247510,254831,273445,260203,319355,276240,268565,258749
other renewables,70769,79109,79487,83067,87329,96525,105238,126101,144279,167173,193981,218333,253508,281060
hydro-electric pumped storage,-8823,-8743,-8535,-8488,-6558,-6558,-6896,-6288,-4627,-5501,-6421,-4950,-4681,-6209
other,11906,13527,14045,14232,12821,12974,12231,11804,11928,12855,14154,13787,13588,12576
